frame_idx,t_sec,dt_cumavg_ms,motor_encoders_FL,motor_encoders_FR,motor_encoders_BL,motor_encoders_BR,motor_speeds_FL,motor_speeds_FR,motor_speeds_BL,motor_speeds_BR,pid_outputs_FL,pid_outputs_FR,pid_outputs_BL,pid_outputs_BR,desired_speed,actual_speed_fl,raw_v1_fl,estimated_velocity,kalman_v_pred,pendulum_angle_deg,lqr_force,kalman_theta_rad,kalman_v,kalman_x,x_ref,theta_ref_deg,sprint_active,pwm
1,6.938950399984606,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.0,-108.0,-108.0,-108.0,-0.0,0.0,0.0,-0.0,0.0,0.18,-12.428,0.003,-0.0,0.0,0.0,0.0,1,-0.108
2,6.958803699992131,5.364,-0.0,-0.0,0.0,0.0,-0.004,-0.004,0.0,0.0,165.0,165.0,152.0,152.0,0.042,-0.004,-0.044,-0.012,-0.088,0.18,6.189,0.003,-0.012,-0.0,0.001,0.0,1,0.165
3,6.964339300000574,5.582,-0.0,-0.001,-0.0,0.0,-0.004,-0.009,-0.005,0.0,94.0,104.0,95.0,85.0,0.033,-0.004,0.0,-0.004,-0.002,0.18,-1.731,0.004,-0.004,-0.0,0.002,0.0,1,0.094
4,6.968499100010376,4.731,0.001,-0.001,-0.0,0.0,0.05,-0.016,-0.005,0.017,-178.0,132.0,109.0,66.0,0.032,0.05,0.237,0.011,0.005,0.18,0.871,0.004,0.011,-0.0,0.004,0.0,1,-0.178
5,6.97296769998502,4.413,0.001,-0.001,0.001,0.001,0.033,0.007,0.049,0.047,187.0,121.0,-141.0,41.0,0.044,0.033,-0.237,0.034,0.036,0.27,2.494,0.005,0.034,0.0,0.005,0.0,1,0.187
6,6.977124399971217,3.937,0.0,0.001,0.001,0.001,0.014,0.083,0.04,0.057,109.0,-88.0,56.0,-36.0,0.053,0.014,0.0,0.048,0.05,0.18,-0.123,0.005,0.048,0.001,0.006,0.0,1,0.109
7,6.981734799977858,3.666,0.0,0.002,0.001,0.001,-0.033,0.109,0.033,0.033,90.0,-170.0,75.0,75.0,0.044,-0.033,0.237,0.035,0.032,0.27,-1.675,0.005,0.035,0.001,0.007,0.0,1,0.09
8,7.0058053999673575,3.535,0.002,0.001,0.002,0.001,0.07,0.011,0.008,0.0,-248.0,282.0,-126.0,68.0,0.025,0.07,0.0,0.022,0.019,0.18,-2.123,0.004,0.022,0.002,0.008,0.0,1,-0.248
9,7.013742399984039,3.451,0.002,-0.001,0.002,0.002,0.087,-0.095,0.032,0.032,-182.0,242.0,-71.0,-189.0,0.015,0.087,0.0,0.013,0.005,0.18,-1.599,0.004,0.013,0.002,0.01,0.0,1,-0.182
10,7.022895400004927,3.479,0.002,-0.0,0.001,0.002,0.032,-0.063,-0.007,0.032,-48.0,121.0,207.0,-89.0,0.009,0.032,0.0,-0.001,0.005,0.18,-2.451,0.004,-0.001,0.001,0.011,0.0,1,-0.048
